word	word_familiarity	translation
vabank	1	all or nothing
diviz	1	divident
diffamál	1	discredit
krakéler	1	roisterer
piláf	2	pilaf
móringol	2	moor
lalláz	2	slur
cugehőr	2	belongings
kurzivál	3	cursive
döföl	3	stab
infimum	3	infimum
aggófű	3	Senecio asteraceae
orront	4	disdain
petél	4	ovulate
rekvizit	4	props
kontrapunkt	4	counterpoint
truccol	5	defy
kvéker	5	Quaker
bajadér	5	bayadère
mimézis	5	mimesis
adszorbens	6	adsorbent
kollapszus	6	collapse
hübrisz	6	hybris
ifjít	6	rejuvenate
magmatit	7	magmatite
viszonvád	7	counteraccusation
glosszáz	7	gloss
libling	7	liebling
forrpont	8	boiling point
cianid	8	cyanide
rámáz	8	ramp
áradmány	8	flooding
ingváll	9	shirt shoulder
dipeptid	9	dipeptide
türemlik	9	protrude
kurzív	9	cursive arch
lejmol	10	scrounge
bajuszfű	10	Crypsis schoenoides
templomoz	10	temples
káder	10	cadre
lazúroz	11	loose
donhuán	11	donhuan
bizmut	11	bizmut
kúpol	11	cone
rotor	12	rotor
fajansz	12	faience
alfél	12	bottom half
kencéz	12	kencéz
dádá	13	dada
fertilis	13	fertilis
pauzál	13	pause
törköly	13	dwarf
konverzál	14	converge
farkasbab	14	Lapinus luteus
árstop	14	driftstop
neoprén	14	neoprene
csapattest	15	corps
genom	15	genome
kurtít	15	curtail
bárányfark	15	Amaranthus caudatus
rücsök	16	jerk
koenzim	16	coenzyme
lakotthely	16	dwelling place
anorák	16	anorak
csapdáz	17	trap
kondenzcsík	17	contrail
püffeszt	17	bloat
kettősfém	17	bimetal
komál	18	sympathise
skubizik	18	scubic
svábtök	18	Solanum tuberosum
gerencsér	18	lucky
ion	19	ion
bolgár	19	Bulgarian
arzénsav	19	arsenic acid
szilikát	20	silicate
kitin	20	chitin
tropikus	20	tropical
abszint	20	absinthe
csüggedez	21	dispirited
szokik	21	habituates
viszkóz	21	viscose
szalicil	21	salicyl
transzplantál	22	transplant
nimbus	22	nimbus
bacon	22	bacon
kalcium	22	calcium
nukleon	23	nucleon
reform	23	reform
puritán	23	puritan
lukaszt	23	aperture
viszkózus	24	viscous
hidegház	24	cold storage
derít	24	settle
heveny	24	acute
turné	25	tour
tangózik	25	tango
csüggeszt	25	discourage
referál	25	refer
testnedv	26	bodily fluid
nyersarany	26	raw gold
gyülemlik	26	accumulates
tököl	26	fiddle
mellényzseb	27	vest pocket
gyapot	27	cotton
biliárd	27	billiards
luftballon	27	balloon
változik	28	varies
grafikon	28	graph
sziszeg	28	hiss
népszerű	28	popular
lágyék	29	crotch
glükóz	29	glucose
kanalaz	29	spoon
selypít	29	lisp
ború	30	dour
lépték	30	measure
nagybeteg	30	gravely ill
darab	30	piece
horizont	31	horizon
elegy	31	blend
színpad	31	stage
tarol	31	sweep
ómagyar	32	old Hungarian
látszik	32	seems
orális	32	oral
fürkész	32	scan
csontdarab	33	bone fragment
forgórész	33	rotor
rövid	33	short
tenger	33	sea
sporthorgász	34	sport fisherman
rakódik	34	stack
szempont	34	aspect
árus	34	vendor
nárcisz	35	narcissus
újgazdag	35	nouveau riche
olaj	35	oil
iszlám	35	islam
igény	36	demand
sugár	36	ray
hidroxid	36	hydroxide
komplex	36	complex
kulcscsont	37	clavicle
délceg	37	proud
csengettyű	37	bell
sárgaréz	37	brass
kislány	38	girl
piktogram	38	pictogram
csatázik	38	battle
komoly	38	serious
kárpit	39	tapestry
balközép	39	centre left
diktátor	39	dictator
tábornagy	39	Field Marshal
hálózsák	40	sleeping bag
nagyszámú	40	numerous
pereg	40	slick
bélyeg	40	stamp
század	41	century
régész	41	archaeologist
ausztrál	41	Australian
égitest	41	celestial body
örmény	42	Armenian
reagál	42	responds
százalék	42	Percent
végbél	42	rectum
irány	43	direction
töredék	43	fragment
űrlap	43	form
könnyelmű	43	frivolous
keresztény	44	Christian
jármű	44	vehicle
beton	44	concrete
gyűjtemény	44	collection
hajlik	45	bend
hatalom	45	power
lélek	45	soul
dolgozik	45	work
kötődik	46	bound
profit	46	profit
gazdag	46	rich
példakép	46	role model
barát	47	friend
törékeny	47	fragile
dolog	47	thing
karakter	47	character
mítosz	48	myth
tartalom	48	content
rejtőzik	48	hiding
közhely	48	cliché
szegény	49	poor
alkalom	49	occasion
eszköz	49	tool
időszak	49	period
ellenfél	50	opponent
törődik	50	cares
extrém	50	extreme
pohár	50	glass
