word	pos	bin	lfpm10r	nonce_word	incorrect_answers	correct_answers	correct_odds	correct_log_odds	residual	pred
abszint	noun	26	-0.659	FALSE	4	26	5.4	1.6863989535702288	-0.48951883178868544	2.1759177853588696
abszolútérték	noun	18	-1.554	FALSE	0	38	39	3.6635616461296463	1.924065049713282	1.7394965964163935
adszorbens	adjective	20	-1.303	FALSE	26	15	0.5925925925925926	-0.5232481437645479	-2.3718500374165616	1.8486018936520128
aggófű	noun	20	-1.365	FALSE	22	8	0.391304347826087	-0.9382696385929302	-2.7868715322449438	1.8486018936520128
agronómus	noun	24	-0.862	FALSE	13	16	1.2142857142857142	0.1941560144409574	-1.8726564736822946	2.066812488123251
agráregyetem	noun	19	-1.479	FALSE	3	42	10.75	2.3749057545736716	0.5808565095394678	1.7940492450342032
agyag	noun	36	0.579	FALSE	1	32	16.5	2.803360380906535	0.08191610936956778	2.721444271536965
akarózik	verb	20	-1.395	FALSE	8	23	2.6666666666666665	0.9808292530117262	-0.8677726406402874	1.8486018936520128
aktív	adjective	49	2.072	FALSE	0	26	27	3.295836866004329	-0.13479183756416258	3.4306287035684884
alap	noun	47	1.812	FALSE	0	25	26	3.258096538021482	-0.06342686831139019	3.3215234063328696
alapszabály	noun	38	0.803	FALSE	0	32	33	3.4965075614664802	0.6659579926938941	2.830549568772584
alapszik	verb	39	0.885	FALSE	1	23	12	2.4849066497880004	-0.40019556760239544	2.8851022173903935
alexandrinus	noun	18	-1.605	FALSE	16	21	1.2941176470588236	0.25782910930209985	-1.4816674871142943	1.7394965964163935
alfél	noun	11	-2.365	FALSE	8	22	2.5555555555555554	0.9382696385929302	-0.41935841749879726	1.357628056091727
algoritmikus	adjective	29	-0.265	FALSE	3	32	8.25	2.1102132003465894	-0.22936253086571046	2.3395757312122982
alkalom	noun	45	1.587	FALSE	0	32	33	3.4965075614664802	0.284089452369227	3.212418109097251
alkot	verb	42	1.179	FALSE	0	24	25	3.2188758248682006	0.1701156616243761	3.0487601632438217
allodiális	adjective	18	-1.526	FALSE	31	3	0.125	-2.0794415416798357	-3.81893813809623	1.7394965964163935
amodális	adjective	12	-2.268	FALSE	30	9	0.3225806451612903	-1.1314021114911006	-2.5435828162006375	1.4121807047095367
analizál	verb	22	-1.079	FALSE	1	41	21	3.044522437723423	1.0868152468357901	1.9577071908876318
angol	adjective	50	2.182	FALSE	0	31	32	3.4657359027997265	-0.01944544938657474	3.4851813521862978
anorák	noun	20	-1.335	FALSE	7	21	2.75	1.0116009116784799	-0.8370009819735337	1.8486018936520128
antikizál	verb	4	-3.171	FALSE	18	3	0.21052631578947367	-1.55814461804655	-2.53390413381361	0.9757595157670604
antikommutatív	adjective	3	-3.393	FALSE	10	40	3.727272727272727	1.3156767939059373	0.39446992675668674	0.9212068671492509
anyajogú	adjective	21	-1.283	FALSE	7	31	4	1.3862943611198906	-0.5168601811499326	1.9031545422698222
anzágol	verb	3	-3.393	FALSE	34	2	0.08571428571428572	-2.456735772821304	-3.3779426399705548	0.9212068671492509
arapapagáj	noun	19	-1.449	FALSE	9	30	3.1	1.1314021114911006	-0.6626471335431032	1.7940492450342032
